-124.5,42.5,2015,16.08,9,3251.1,1446.13
-124.5,42.5,2016,15.66,8.89,2919.1,1984.04
-124.5,42.5,2017,16.55,8.75,3346.2,1850.6
-124.5,42.5,2018,16.31,9.41,3069.4,1700.79
-124.5,42.5,2019,16.61,9.08,2852.2,1537.51
-124.5,42.5,2020,17.66,9.76,2787.1,1907.84
-124.5,42.5,2021,16.88,9.35,2926.9,1602.63
-124.5,42.5,2022,16.86,9.32,3353.1,1589.37
-124.5,42.5,2023,17.4,9.35,3154.4,1354.56
-124.5,42.5,2024,16.94,9.45,3030.9,1839.88
-124.5,42.5,2025,16.25,10.03,3263.9,1918.21
-124.5,42.5,2026,16.36,9.38,3167.6,1591.69
-124.5,42.5,2027,16.7,7.96,2752.3,1847.82
-124.5,42.5,2028,16.9,8.47,3055.5,1555.47
-124.5,42.5,2029,17.04,9.74,3212.6,2347.92
-124.5,42.5,2030,16.79,9.18,3049.4,1374.67
-124.5,42.5,2031,17.62,9.22,2930.9,1597.92
-124.5,42.5,2032,16.44,7.76,3155.8,1117.7
-124.5,42.5,2033,16.44,8.76,3177.3,1616.8
-124.5,42.5,2034,17.15,8.34,2962.8,1756.54
-124.5,42.5,2035,17.44,9.18,3060.6,2315.39
-124.5,42.5,2036,17.7,10.7,3296.2,1472.51
-124.5,42.5,2037,17.76,9.26,3208.8,1757.28
-124.5,42.5,2038,16.55,10.51,3252.4,1328.37
-124.5,42.5,2039,17.58,9.77,3347.3,1560.84
-124.5,42.5,2040,18.27,10.61,3212.4,1508.07
-124.5,42.5,2041,18.8,10.27,3015.6,1885.11
-124.5,42.5,2042,18.15,10.28,3294.2,1193.98
-124.5,42.5,2043,17.27,9.27,3308.6,1018.73
-124.5,42.5,2044,17.79,9.75,3296.7,2163.25
-124.5,42.5,2045,17.91,10.72,3497.2,1618.22
-124.5,42.5,2046,19.34,10.31,3522.8,2029.11
-124.5,42.5,2047,18.8,11.91,3356.2,2221.7
-124.5,42.5,2048,17.73,11.36,3343,1955.11
-124.5,42.5,2049,17.69,10.32,3184.5,1722.22
-124.5,42.5,2050,18.24,9.23,3219.4,1684.14
-124.5,42.5,2051,18.14,11.33,3341.6,1784.14
-124.5,42.5,2052,19.15,10.91,3545.6,2561.25
-124.5,42.5,2053,18.16,10.11,3307.5,1446.84
-124.5,42.5,2054,17.96,9.89,3525.2,1885.2
-124.5,42.5,2055,19.12,10.25,3471,1464.16
-124.5,42.5,2056,18.76,10.52,3160.2,1140.73
-124.5,42.5,2057,19,10.75,3425.8,2000.87
-124.5,42.5,2058,18.32,9.97,3672.5,1423.61
-124.5,42.5,2059,18.26,10.03,3452.8,1140.88
-124.5,42.5,2060,19.67,11.7,3146.1,1722.53
