4,4,350,900,-60,21,200,0.65
8,9,900,3000,-5,25,300,0.7
8,10,900,3000,-5,21,750,0.7
9,9,900,3000,-40,25,300,0.7
10,10,900,3000,-10,21,750,0.6
13,13,500,5000,-20,35,500,0.5
15,15,500,5000,0,35,150,0.5
19,19,900,3000,-5,32,380,0.5
33,33,3000,5000,-10,25,300,0.65
