-124.0,43.5,8,2233,32.3,0.01
-124.0,43.5,9,2233,32.3,0.02
-124.0,43.5,10,2233,32.3,0.0
-124.0,43.5,11,2233,32.3,0.01
-124.0,43.5,12,2233,32.3,0.01
-124.0,44.0,1,2214,51.2,0.01
-124.0,44.0,2,2214,51.2,0.01
-124.0,44.0,3,2214,51.2,0.0
-124.0,44.0,4,2214,51.2,0.0
-124.0,44.0,5,2214,51.2,0.01
-124.0,44.0,6,2214,51.2,0.02
-124.0,44.0,7,2214,51.2,0.01
-124.0,44.0,8,2214,51.2,0.01
-124.0,44.0,9,2214,51.2,0.02
-124.0,44.0,10,2214,51.2,0.0
-124.0,44.0,11,2214,51.2,0.0
-124.0,44.0,12,2214,51.2,0.0
-124.0,44.5,1,2195,51.2,0.01
-124.0,44.5,2,2195,51.2,0.01
-124.0,44.5,3,2195,51.2,0.01
-124.0,44.5,4,2195,51.2,0.0
-124.0,44.5,5,2195,51.2,0.01
-124.0,44.5,6,2195,51.2,0.01
-124.0,44.5,7,2195,51.2,0.0
-124.0,44.5,8,2195,51.2,0.0
-124.0,44.5,9,2195,51.2,0.01
-124.0,44.5,10,2195,51.2,0.0
-124.0,44.5,11,2195,51.2,0.0
-124.0,44.5,12,2195,51.2,0.0
-124.0,45.0,1,2176,51.2,0.01
-124.0,45.0,2,2176,51.2,0.04
-124.0,45.0,3,2176,51.2,0.02
-124.0,45.0,4,2176,51.2,0.0
-124.0,45.0,5,2176,51.2,0.01
-124.0,45.0,6,2176,51.2,0.01
-124.0,45.0,7,2176,51.2,0.01
-124.0,45.0,8,2176,51.2,0.01
-124.0,45.0,9,2176,51.2,0.02
-124.0,45.0,10,2176,51.2,0.01
-124.0,45.0,11,2176,51.2,0.0
-124.0,45.0,12,2176,51.2,0.01
-124.0,45.5,1,2157,65.5,0.01
-124.0,45.5,2,2157,65.5,0.04
-124.0,45.5,3,2157,65.5,0.02
-124.0,45.5,4,2157,65.5,0.01
-124.0,45.5,5,2157,65.5,0.0
-124.0,45.5,6,2157,65.5,0.0
-124.0,45.5,7,2157,65.5,0.04
-124.0,45.5,8,2157,65.5,0.01
-124.0,45.5,9,2157,65.5,0.02
-124.0,45.5,10,2157,65.5,0.01
-124.0,45.5,11,2157,65.5,0.0
-124.0,45.5,12,2157,65.5,0.0
-124.0,46.0,1,1971,65.5,0.01
-124.0,46.0,2,1971,65.5,0.03
-124.0,46.0,3,1971,65.5,0.01
-124.0,46.0,4,1971,65.5,0.01
-124.0,46.0,5,1971,65.5,0.0
-124.0,46.0,6,1971,65.5,0.0
-124.0,46.0,7,1971,65.5,0.08
-124.0,46.0,8,1971,65.5,0.01
-124.0,46.0,9,1971,65.5,0.02
-124.0,46.0,10,1971,65.5,0.01
-124.0,46.0,11,1971,65.5,0.0
-124.0,46.0,12,1971,65.5,0.0
-124.0,46.5,1,2118,18.2,0.0
-124.0,46.5,2,2118,18.2,0.03
-124.0,46.5,3,2118,18.2,0.0
-124.0,46.5,4,2118,18.2,0.01
-124.0,46.5,5,2118,18.2,0.0
-124.0,46.5,6,2118,18.2,0.0
-124.0,46.5,7,2118,18.2,0.08
-124.0,46.5,8,2118,18.2,0.02
-124.0,46.5,9,2118,18.2,0.01
-124.0,46.5,10,2118,18.2,0.01
-124.0,46.5,11,2118,18.2,0.01
-124.0,46.5,12,2118,18.2,0.01
-124.0,47.0,1,2098,18.2,0.0
-124.0,47.0,2,2098,18.2,0.02
-124.0,47.0,3,2098,18.2,0.0
-124.0,47.0,4,2098,18.2,0.0
-124.0,47.0,5,2098,18.2,0.0
-124.0,47.0,6,2098,18.2,0.01
-124.0,47.0,7,2098,18.2,0.07
-124.0,47.0,8,2098,18.2,0.04
-124.0,47.0,9,2098,18.2,0.02
-124.0,47.0,10,2098,18.2,0.01
-124.0,47.0,11,2098,18.2,0.01
-124.0,47.0,12,2098,18.2,0.01
-124.0,47.5,1,2078,4.0,0.0
-124.0,47.5,2,2078,4.0,0.0
-124.0,47.5,3,2078,4.0,0.0
-124.0,47.5,4,2078,4.0,0.0
-124.0,47.5,5,2078,4.0,0.0
-124.0,47.5,6,2078,4.0,0.02
-124.0,47.5,7,2078,4.0,0.09
-124.0,47.5,8,2078,4.0,0.07
-124.0,47.5,9,2078,4.0,0.02
-124.0,47.5,10,2078,4.0,0.02
-124.0,47.5,11,2078,4.0,0.01
-124.0,47.5,12,2078,4.0,0.01
-123.5,39.0,1,2393,9.7,0.0
-123.5,39.0,2,2393,9.7,0.02
-123.5,39.0,3,2393,9.7,0.01
-123.5,39.0,4,2393,9.7,0.01
-123.5,39.0,5,2393,9.7,0.01
-123.5,39.0,6,2393,9.7,0.02
-123.5,39.0,7,2393,9.7,0.04
-123.5,39.0,8,2393,9.7,0.02
-123.5,39.0,9,2393,9.7,0.0
-123.5,39.0,10,2393,9.7,0.03
-123.5,39.0,11,2393,9.7,0.03
-123.5,39.0,12,2393,9.7,0.01
-123.5,39.5,1,2376,10.9,0.0
-123.5,39.5,2,2376,10.9,0.03
-123.5,39.5,3,2376,10.9,0.02
-123.5,39.5,4,2376,10.9,0.02
-123.5,39.5,5,2376,10.9,0.01
-123.5,39.5,6,2376,10.9,0.08
-123.5,39.5,7,2376,10.9,0.14
-123.5,39.5,8,2376,10.9,0.04
-123.5,39.5,9,2376,10.9,0.01
-123.5,39.5,10,2376,10.9,0.02
-123.5,39.5,11,2376,10.9,0.04
-123.5,39.5,12,2376,10.9,0.03
-123.5,40.0,1,2359,10.9,0.01
-123.5,40.0,2,2359,10.9,0.03
-123.5,40.0,3,2359,10.9,0.01
-123.5,40.0,4,2359,10.9,0.03
-123.5,40.0,5,2359,10.9,0.02
-123.5,40.0,6,2359,10.9,0.08
-123.5,40.0,7,2359,10.9,0.36
-123.5,40.0,8,2359,10.9,0.04
-123.5,40.0,9,2359,10.9,0.01
-123.5,40.0,10,2359,10.9,0.01
-123.5,40.0,11,2359,10.9,0.02
-123.5,40.0,12,2359,10.9,0.09
-123.5,40.5,1,2341,2.2,0.01
-123.5,40.5,2,2341,2.2,0.03
-123.5,40.5,3,2341,2.2,0.01
-123.5,40.5,4,2341,2.2,0.02
