lon,lat,varname,area,year,total,max,avg,min,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,region
-123.0,42.5, T2M ,2269,-999,76.1,21.58,19.02,16.22,,,,,,17.14,21.08,20.72,17.15,,,,WESTERN_USA
-123.0,43.0, T2M ,2251,-999,68.76,19.56,17.19,14.53,,,,,,15.14,18.94,18.88,15.79,,,,WESTERN_USA
-123.0,43.5, T2M ,2233,-999,68.91,19.54,17.23,14.6,,,,,,15.12,18.87,18.97,15.95,,,,WESTERN_USA
-123.0,44.0, T2M ,2214,-999,71.19,19.92,17.8,15.39,,,,,,15.86,19.32,19.44,16.57,,,,WESTERN_USA
-123.0,44.5, T2M ,2195,-999,72.99,20.38,18.25,15.81,,,,,,16.28,19.8,19.93,16.99,,,,WESTERN_USA
-123.0,45.0, T2M ,2176,-999,75.76,21.06,18.94,16.54,,,,,,17.09,20.49,20.58,17.6,,,,WESTERN_USA
-123.0,45.5, T2M ,2157,-999,72.09,20.08,18.02,15.7,,,,,,16.19,19.36,19.68,16.87,,,,WESTERN_USA
-123.0,46.0, T2M ,2137,-999,66.32,18.38,16.58,14.62,,,,,,15.04,17.64,18.04,15.6,,,,WESTERN_USA
-123.0,46.5, T2M ,2118,-999,65.77,18.31,16.44,14.44,,,,,,14.99,17.64,17.95,15.18,,,,WESTERN_USA
-123.0,47.0, T2M ,2098,-999,66.11,18.2,16.53,14.71,,,,,,15.14,17.59,17.9,15.47,,,,WESTERN_USA
-123.0,47.5, T2M ,2078,-999,66.24,18.38,16.56,14.53,,,,,,14.92,17.72,18.1,15.5,,,,WESTERN_USA
-123.0,48.0, T2M ,1189,-999,55.03,15.44,13.76,11.88,,,,,,12.24,14.77,15.14,12.88,,,,WESTERN_USA
-123.0,48.5, T2M ,1328,-999,53.52,14.35,13.38,12.2,,,,,,12.25,13.81,14.28,13.18,,,,WESTERN_USA
-122.5,38.0, T2M ,2211,-999,67.64,17.72,16.91,16.06,,,,,,16.53,16.85,17.13,17.12,,,,WESTERN_USA
-122.5,41.5, T2M ,2306,-999,73.94,21.55,18.49,15.27,,,,,,16.34,21.07,20.37,16.16,,,,WESTERN_USA
-122.5,42.0, T2M ,2288,-999,70.66,20.56,17.66,14.55,,,,,,15.51,20.02,19.51,15.62,,,,WESTERN_USA
-122.5,42.5, T2M ,2269,-999,69.93,20.32,17.48,14.35,,,,,,15.17,19.71,19.38,15.67,,,,WESTERN_USA
-122.5,43.0, T2M ,2251,-999,61.88,18.25,15.47,12.37,,,,,,13.04,17.53,17.44,13.87,,,,WESTERN_USA
-122.5,43.5, T2M ,2233,-999,61.61,18.03,15.4,12.46,,,,,,13.09,17.27,17.34,13.91,,,,WESTERN_USA
-122.5,44.0, T2M ,2214,-999,65.23,18.79,16.31,13.48,,,,,,14.07,18.03,18.23,14.89,,,,WESTERN_USA
-122.5,44.5, T2M ,2195,-999,64.81,18.62,16.2,13.48,,,,,,14.04,17.83,18.11,14.83,,,,WESTERN_USA
-122.5,45.0, T2M ,2176,-999,66.49,18.9,16.62,14.06,,,,,,14.6,18.14,18.43,15.32,,,,WESTERN_USA
-122.5,45.5, T2M ,2157,-999,72.7,20.32,18.17,15.81,,,,,,16.39,19.6,19.88,16.83,,,,WESTERN_USA
-122.5,46.0, T2M ,2137,-999,63.5,18.0,15.88,13.56,,,,,,14.13,17.18,17.56,14.64,,,,WESTERN_USA
-122.5,46.5, T2M ,2118,-999,62.19,17.56,15.55,13.38,,,,,,13.93,16.82,17.14,14.3,,,,WESTERN_USA
-122.5,47.0, T2M ,2098,-999,64.84,18.03,16.21,14.26,,,,,,14.82,17.44,17.66,14.92,,,,WESTERN_USA
-122.5,47.5, T2M ,2078,-999,70.43,19.44,17.61,15.64,,,,,,16.07,18.84,19.16,16.37,,,,WESTERN_USA
-122.5,48.0, T2M ,2058,-999,59.35,16.21,14.84,13.29,,,,,,13.42,15.55,16.08,14.3,,,,WESTERN_USA
