-121.5,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-121.5,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-121,35.5, MXCOHRTS ,2508,-111,1,1, WEST
-121,36, MXCOHRTS ,2492,-111,1,1, WEST
-121,38, MXCOHRTS ,2427,-111,1,1, WEST
-121,38.5, MXCOHRTS ,2410,-111,1,1, WEST
-121,39, MXCOHRTS ,2393,-111,1,1, WEST
-121,39.5, MXCOHRTS ,2376,-111,1,1, WEST
-121,40, MXCOHRTS ,2359,-111,1,1, WEST
-121,42, MXCOHRTS ,2288,-111,1,1, WEST
-121,42.5, MXCOHRTS ,2269,-111,1,1, WEST
-121,47, MXCOHRTS ,2098,-111,1,1, WEST
-121,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-120.5,34.5, MXCOHRTS ,2539,-111,1,1, WEST
-120.5,35, MXCOHRTS ,2524,-111,1,1, WEST
-120.5,37.5, MXCOHRTS ,2444,-111,1,1, WEST
-120.5,38, MXCOHRTS ,2427,-111,1,1, WEST
-120.5,38.5, MXCOHRTS ,2410,-111,1,1, WEST
-120.5,39, MXCOHRTS ,2393,-111,1,1, WEST
-120.5,39.5, MXCOHRTS ,2376,-111,1,1, WEST
-120.5,44, MXCOHRTS ,2214,-111,1,1, WEST
-120.5,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-120.5,48, MXCOHRTS ,2058,-111,1,1, WEST
-120.5,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-120,37, MXCOHRTS ,2460,-111,1,1, WEST
-120,37.5, MXCOHRTS ,2444,-111,1,1, WEST
-120,38, MXCOHRTS ,2427,-111,1,1, WEST
-120,38.5, MXCOHRTS ,2410,-111,1,1, WEST
-120,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-119.5,36, MXCOHRTS ,2492,-111,1,1, WEST
-119.5,36.5, MXCOHRTS ,2476,-111,1,1, WEST
-119.5,37, MXCOHRTS ,2460,-111,1,1, WEST
-119.5,37.5, MXCOHRTS ,2444,-111,1,1, WEST
-119.5,43.5, MXCOHRTS ,2233,-111,1,1, WEST
-119.5,44, MXCOHRTS ,2214,-111,1,1, WEST
-119.5,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-119,35.5, MXCOHRTS ,2508,-111,1,1, WEST
-119,36, MXCOHRTS ,2492,-111,1,1, WEST
-119,36.5, MXCOHRTS ,2476,-111,1,1, WEST
-119,37, MXCOHRTS ,2460,-111,1,1, WEST
-119,44, MXCOHRTS ,2214,-111,1,1, WEST
-119,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-119,45, MXCOHRTS ,2176,-111,1,1, WEST
-119,48, MXCOHRTS ,2058,-111,1,1, WEST
-119,48.5, MXCOHRTS ,2038,-111,1,1, WEST
-118.5,36, MXCOHRTS ,2492,-111,1,1, WEST
-118.5,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-118.5,45, MXCOHRTS ,2176,-111,1,1, WEST
