-122.5000,42.0000, TEXTURE ,2288,42.50,32.50,24.98,0, IGBP ,WEST
-122.5000,42.5000, TEXTURE ,2269,49.50,31.24,19.28,0, IGBP ,WEST
-122.5000,43.0000, TEXTURE ,2251,52.41,31.96,15.70,0, IGBP ,WEST
-122.5000,43.5000, TEXTURE ,2233,51.90,31.81,16.36,0, IGBP ,WEST
-122.5000,44.0000, TEXTURE ,2214,48.31,30.78,20.98,0, IGBP ,WEST
-122.5000,44.5000, TEXTURE ,2195,50.36,31.37,18.34,0, IGBP ,WEST
-122.5000,45.0000, TEXTURE ,2176,39.10,28.12,32.86,0, IGBP ,WEST
-122.5000,45.5000, TEXTURE ,2157,37.52,29.87,32.61,0, IGBP ,WEST
-122.5000,46.0000, TEXTURE ,2137,39.84,27.59,32.62,0, IGBP ,WEST
-122.5000,46.5000, TEXTURE ,2118,38.67,27.65,33.74,0, IGBP ,WEST
-122.5000,47.0000, TEXTURE ,2098,47.57,31.58,20.89,0, IGBP ,WEST
-122.5000,47.5000, TEXTURE ,2078,46.30,31.64,22.11,0, IGBP ,WEST
-122.5000,48.0000, TEXTURE ,2058,48.72,31.52,19.79,0, IGBP ,WEST
-122.5000,48.5000, TEXTURE ,2038,49.80,31.04,19.19,0, IGBP ,WEST
-122.0000,36.5000, TEXTURE ,2201,34.52,30.29,35.13,0, IGBP ,WEST
-122.0000,40.0000, TEXTURE ,2359,48.64,21.73,29.56,0, IGBP ,WEST
-122.0000,40.5000, TEXTURE ,2341,48.78,24.12,27.00,0, IGBP ,WEST
-122.0000,41.0000, TEXTURE ,2324,48.51,25.15,26.24,0, IGBP ,WEST
-122.0000,42.5000, TEXTURE ,2269,55.51,28.49,16.06,0, IGBP ,WEST
-122.0000,43.0000, TEXTURE ,2251,58.69,27.42,13.98,0, IGBP ,WEST
-122.0000,43.5000, TEXTURE ,2233,49.04,32.33,18.70,0, IGBP ,WEST
-122.0000,44.0000, TEXTURE ,2214,47.29,33.75,19.02,0, IGBP ,WEST
-122.0000,44.5000, TEXTURE ,2195,48.14,33.45,18.47,0, IGBP ,WEST
-122.0000,45.0000, TEXTURE ,2176,51.98,32.11,15.97,0, IGBP ,WEST
-122.0000,45.5000, TEXTURE ,2157,45.87,33.01,21.14,0, IGBP ,WEST
-122.0000,46.0000, TEXTURE ,2137,53.01,29.74,17.24,0, IGBP ,WEST
-122.0000,46.5000, TEXTURE ,2118,44.69,28.38,26.96,0, IGBP ,WEST
