-122.5000,43.0000, MXCOHRTS ,2251,-111,3,3, WEST
-122.5000,43.5000, MXCOHRTS ,2233,-111,3,3, WEST
-122.5000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-122.5000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-122.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-122.5000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-122.5000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-122.5000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-122.5000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-122.5000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-122.5000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-122.5000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-122.0000,36.5000, MXCOHRTS ,2201,-111,3,3, WEST
-122.0000,40.0000, MXCOHRTS ,2359,-111,3,3, WEST
-122.0000,40.5000, MXCOHRTS ,2341,-111,3,3, WEST
-122.0000,41.0000, MXCOHRTS ,2324,-111,3,3, WEST
-122.0000,42.5000, MXCOHRTS ,2269,-111,3,3, WEST
-122.0000,43.0000, MXCOHRTS ,2251,-111,3,3, WEST
-122.0000,43.5000, MXCOHRTS ,2233,-111,3,3, WEST
-122.0000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-122.0000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-122.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-122.0000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-122.0000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-122.0000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-122.0000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-122.0000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-122.0000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-122.0000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-121.5000,36.0000, MXCOHRTS ,2492,-111,3,3, WEST
-121.5000,39.0000, MXCOHRTS ,2393,-111,3,3, WEST
-121.5000,39.5000, MXCOHRTS ,2376,-111,3,3, WEST
-121.5000,40.0000, MXCOHRTS ,2359,-111,3,3, WEST
-121.5000,40.5000, MXCOHRTS ,2341,-111,3,3, WEST
-121.5000,41.0000, MXCOHRTS ,2324,-111,3,3, WEST
-121.5000,42.5000, MXCOHRTS ,2269,-111,3,3, WEST
-121.5000,43.0000, MXCOHRTS ,2251,-111,3,3, WEST
-121.5000,43.5000, MXCOHRTS ,2233,-111,3,3, WEST
-121.5000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-121.5000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-121.5000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-121.5000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-121.5000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-121.0000,35.5000, MXCOHRTS ,2508,-111,3,3, WEST
-121.0000,36.0000, MXCOHRTS ,2492,-111,3,3, WEST
-121.0000,38.0000, MXCOHRTS ,2427,-111,3,3, WEST
-121.0000,38.5000, MXCOHRTS ,2410,-111,3,3, WEST
-121.0000,39.0000, MXCOHRTS ,2393,-111,3,3, WEST
-121.0000,39.5000, MXCOHRTS ,2376,-111,3,3, WEST
-121.0000,40.0000, MXCOHRTS ,2359,-111,3,3, WEST
-121.0000,42.0000, MXCOHRTS ,2288,-111,3,3, WEST
-121.0000,42.5000, MXCOHRTS ,2269,-111,3,3, WEST
-121.0000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-121.0000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-120.5000,34.5000, MXCOHRTS ,2539,-111,3,3, WEST
-120.5000,35.0000, MXCOHRTS ,2524,-111,3,3, WEST
-120.5000,37.5000, MXCOHRTS ,2444,-111,3,3, WEST
-120.5000,38.0000, MXCOHRTS ,2427,-111,3,3, WEST
-120.5000,38.5000, MXCOHRTS ,2410,-111,3,3, WEST
-120.5000,39.0000, MXCOHRTS ,2393,-111,3,3, WEST
-120.5000,39.5000, MXCOHRTS ,2376,-111,3,3, WEST
-120.5000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-120.5000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-120.5000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-120.5000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-120.0000,37.0000, MXCOHRTS ,2460,-111,3,3, WEST
-120.0000,37.5000, MXCOHRTS ,2444,-111,3,3, WEST
-120.0000,38.0000, MXCOHRTS ,2427,-111,3,3, WEST
-120.0000,38.5000, MXCOHRTS ,2410,-111,3,3, WEST
-120.0000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-119.5000,36.0000, MXCOHRTS ,2492,-111,3,3, WEST
-119.5000,36.5000, MXCOHRTS ,2476,-111,3,3, WEST
-119.5000,37.0000, MXCOHRTS ,2460,-111,3,3, WEST
-119.5000,37.5000, MXCOHRTS ,2444,-111,3,3, WEST
-119.5000,43.5000, MXCOHRTS ,2233,-111,3,3, WEST
-119.5000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-119.5000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-119.0000,35.5000, MXCOHRTS ,2508,-111,3,3, WEST
-119.0000,36.0000, MXCOHRTS ,2492,-111,3,3, WEST
-119.0000,36.5000, MXCOHRTS ,2476,-111,3,3, WEST
-119.0000,37.0000, MXCOHRTS ,2460,-111,3,3, WEST
-119.0000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-119.0000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-119.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-119.0000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-119.0000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-118.5000,36.0000, MXCOHRTS ,2492,-111,3,3, WEST
-118.5000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-118.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-118.5000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-118.5000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-118.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-118.0000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-118.0000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-118.0000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-118.0000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-117.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-117.5000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-117.5000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-117.5000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-117.5000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-117.0000,34.0000, MXCOHRTS ,2555,-111,3,3, WEST
-117.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-117.0000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-117.0000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-117.0000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-117.0000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-116.5000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-116.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-116.5000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-116.5000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-116.5000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-116.5000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-116.5000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-116.5000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-116.0000,43.5000, MXCOHRTS ,2233,-111,3,3, WEST
-116.0000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-116.0000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-116.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-116.0000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-116.0000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-116.0000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-116.0000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-116.0000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-116.0000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-116.0000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-115.5000,43.5000, MXCOHRTS ,2233,-111,3,3, WEST
-115.5000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-115.5000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-115.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-115.5000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-115.5000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-115.5000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-115.5000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-115.5000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-115.5000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-115.5000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-115.0000,43.5000, MXCOHRTS ,2233,-111,3,3, WEST
-115.0000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-115.0000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-115.0000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-115.0000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-115.0000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-115.0000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-115.0000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-115.0000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-115.0000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-115.0000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-114.5000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-114.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-114.5000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-114.5000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-114.5000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-114.5000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-114.0000,44.0000, MXCOHRTS ,2214,-111,3,3, WEST
-114.0000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-114.0000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-114.0000,46.5000, MXCOHRTS ,2118,-111,3,3, WEST
-114.0000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-114.0000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-114.0000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-114.0000,48.5000, MXCOHRTS ,2038,-111,3,3, WEST
-113.5000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-113.5000,45.0000, MXCOHRTS ,2176,-111,3,3, WEST
-113.5000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-113.5000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-113.5000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-113.5000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-113.5000,48.0000, MXCOHRTS ,2058,-111,3,3, WEST
-113.0000,34.5000, MXCOHRTS ,2539,-111,3,3, WEST
-113.0000,37.5000, MXCOHRTS ,2444,-111,3,3, WEST
-113.0000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-113.0000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-113.0000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
-113.0000,47.0000, MXCOHRTS ,2098,-111,3,3, WEST
-113.0000,47.5000, MXCOHRTS ,2078,-111,3,3, WEST
-112.5000,34.0000, MXCOHRTS ,2555,-111,3,3, WEST
-112.5000,34.5000, MXCOHRTS ,2539,-111,3,3, WEST
-112.5000,38.5000, MXCOHRTS ,2410,-111,3,3, WEST
-112.5000,44.5000, MXCOHRTS ,2195,-111,3,3, WEST
-112.5000,45.5000, MXCOHRTS ,2157,-111,3,3, WEST
-112.5000,46.0000, MXCOHRTS ,2137,-111,3,3, WEST
